gallery,major,minor,featureid,url,,,,,,,
188_T_L,33354,2363,-1,-1,,,,,,,
200_L,40413,9952,-1,-1,,,,,,,
200_R,42181,22136,-1,-1,,,,,,,
201_L,1284,27820,-1,-1,,,,,,,
201_R,5062,30597,-1,-1,,,,,,,
204_B,46846,12914,-1,-1,,,,,,,
204_M_L,36374,60547,-1,-1,,,,,,,
204_M_R,59531,20899,-1,-1,,,,,,,
204_T,52030,55210,-1,-1,,,,,,,
206_B,2057,54286,-1,-1,,,,,,,
206_T,31736,46837,-1,-1,,,,,,,
213a,8917,37737,-1,-1,,,,,,,
222b_1,10072,42538,-1,-1,,,,,,,
222b_2,10581,31288,-1,-1,,,,,,,
222b_G,26167,54507,-1,-1,,,,,,Asian Art,All sculptural
224_B,31924,40846,-1,-1,,,,,,,
224_T,225,22471,-1,-1,,,,,,,
226_T,49438,19110,-1,-1,,,,,,,
231_B,32453,12257,87970,http://philamuseum.org/images/cad/mediaDecks/1994-148-132-pma.jpg,,,,,,Asian Art,
231_T,64459,30151,-1,-1,,,,,,,
233a,8530,39820,-1,-1,,,,,,,
234_B,18030,33158,-1,-1,,,,,,,
234_T,6267,50789,-1,-1,,,,,,,
239_B,42321,44871,-1,-1,,,,,,,
239_T,14399,38616,-1,-1,,,,,,,
240a,53659,2632,-1,-1,,,,,,,
242_B,24019,56772,-1,-1,,,,,,,
242_T,17773,7577,-1,-1,,,,,,,
244_B_L,60545,4457,165177,http://philamuseum.org/images/cad/mediaDecks/1929-58-1v1-pma.jpg,,,,,,Asian Art,The Tea house/?
244_B_R,24709,40705,-1,-1,,,,,,,
244_C,1432,42679,-1,-1,,,,,,,
244_M_R,6071,33173,-1,-1,,,,,,,
244_T,41867,11595,-1,-1,,,,,,,
244_T_L,19041,9538,-1,-1,,,,,,,
244_T_R,23620,27393,-1,-1,,,,,,,
247_L,28928,60808,-1,-1,,,,,,,
247_R,11193,54795,-1,-1,,,,,,,
255_L,31926,18155,-1,-1,,,,,,,
255_R,53764,15307,-1,-1,,,,,,,
258_L,22912,5583,104396,http://philamuseum.org/images/cad/mediaDecks/W1901-1-5.jpg,,,,,,,
258_R,48453,19464,-1,-1,,,,,,,
265_L,41311,34533,-1,-1,,,,,,,
265_R,64439,43047,-1,-1,,,,,,,
274_L,40962,3756,-1,-1,,,,,,,
